"","State","variable","value"
"1",0,"birth",0
"2",7.07070707070707,"birth",0.624156115456144
"3",14.1414141414141,"birth",2.48730964467005
"4",21.2121212121212,"birth",5.56186152099886
"5",28.2828282828283,"birth",9.80294088226468
"6",35.3535353535354,"birth",15.1500160775681
"7",42.4242424242424,"birth",21.5289982425308
"8",49.4949494949495,"birth",28.8547049633457
"9",56.5656565656566,"birth",37.0335380255078
"10",63.6363636363636,"birth",45.9662288930582
"11",70.7070707070707,"birth",55.5505169599129
"12",77.7777777777778,"birth",65.6836461126005
"13",84.8484848484848,"birth",76.2645914396887
"14",91.9191919191919,"birth",87.1959566178793
"15",98.989898989899,"birth",98.3855105720374
"16",106.060606060606,"birth",109.747357104462
"17",113.131313131313,"birth",121.202751797171
"18",120.20202020202,"birth",132.680595896187
"19",127.272727272727,"birth",144.117647058824
"20",134.343434343434,"birth",155.458492257395
"21",141.414141414141,"birth",166.655329569417
"22",148.484848484848,"birth",177.667603966257
"23",155.555555555556,"birth",188.461538461538
"24",162.626262626263,"birth",199.009596928983
"25",169.69696969697,"birth",209.289909236519
"26",176.767676767677,"birth",219.285683598505
"27",183.838383838384,"birth",228.984625594514
"28",190.909090909091,"birth",238.378378378378
"29",197.979797979798,"birth",247.461994331358
"30",205.050505050505,"birth",256.233444841008
"31",212.121212121212,"birth",264.693171996543
"32",219.191919191919,"birth",272.843683728692
"33",226.262626262626,"birth",280.689192213023
"34",233.333333333333,"birth",288.235294117647
"35",240.40404040404,"birth",295.488690426509
"36",247.474747474747,"birth",302.456943030767
"37",254.545454545455,"birth",309.148264984227
"38",261.616161616162,"birth",315.57134120525
"39",268.686868686869,"birth",321.735176427792
"40",275.757575757576,"birth",327.648967318193
"41",282.828282828283,"birth",333.321995850481
"42",289.89898989899,"birth",338.763541246823
"43",296.969696969697,"birth",343.982808022923
"44",304.040404040404,"birth",348.988867917261
"45",311.111111111111,"birth",353.790613718412
"46",318.181818181818,"birth",358.396723229959
"47",325.252525252525,"birth",362.815631823526
"48",332.323232323232,"birth",367.055512224897
"49",339.393939393939,"birth",371.12426035503
"50",346.464646464646,"birth",375.029486206831
"51",353.535353535354,"birth",378.778508880423
"52",360.606060606061,"birth",382.378355025112
"53",367.676767676768,"birth",385.835760046593
"54",374.747474747475,"birth",389.157171534395
"55",381.818181818182,"birth",392.348754448399
"56",388.888888888889,"birth",395.41639767592
"57",395.959595959596,"birth",398.365721633449
"58",403.030303030303,"birth",401.202086640962
"59",410.10101010101,"birth",403.930601842776
"60",417.171717171717,"birth",406.556134488233
"61",424.242424242424,"birth",409.083319418935
"62",431.313131313131,"birth",411.51656863763
"63",438.383838383838,"birth",413.860080857796
"64",445.454545454545,"birth",416.117850953206
"65",452.525252525253,"birth",418.29367924371
"66",459.59595959596,"birth",420.391180567683
"67",466.666666666667,"birth",422.413793103448
"68",473.737373737374,"birth",424.364786911813
"69",480.808080808081,"birth",426.247272179998
"70",487.878787878788,"birth",428.064207153945
"71",494.949494949495,"birth",429.818405751439
"72",502.020202020202,"birth",431.512544852959
"73",509.090909090909,"birth",433.149171270718
"74",516.161616161616,"birth",434.730708399234
"75",523.232323232323,"birth",436.259462553003
"76",530.30303030303,"birth",437.737628998599
"77",537.373737373737,"birth",439.167297689835
"78",544.444444444444,"birth",440.550458715596
"79",551.515151515152,"birth",441.889007470651
"80",558.585858585859,"birth",443.184749560162
"81",565.656565656566,"birth",444.439405448918
"82",572.727272727273,"birth",445.654614866382
"83",579.79797979798,"birth",446.831940978626
"84",586.868686868687,"birth",447.972874338115
"85",593.939393939394,"birth",449.078836622089
"86",601.010101010101,"birth",450.151184170038
"87",608.080808080808,"birth",451.191211330452
"88",615.151515151515,"birth",452.200153626687
"89",622.222222222222,"birth",453.179190751445
"90",629.292929292929,"birth",454.129449398946
"91",636.363636363636,"birth",455.052005943536
"92",643.434343434343,"birth",455.947888973039
"93",650.505050505051,"birth",456.818081684804
"94",657.575757575758,"birth",457.663524152007
"95",664.646464646465,"birth",458.485115467376
"96",671.717171717172,"birth",459.283715771173
"97",678.787878787879,"birth",460.060148169882
"98",685.858585858586,"birth",460.81520055173
"99",692.929292929293,"birth",461.549627304825
"100",700,"birth",462.264150943396
"101",0,"death",180
"102",7.07070707070707,"death",183.535353535354
"103",14.1414141414141,"death",187.070707070707
"104",21.2121212121212,"death",190.606060606061
"105",28.2828282828283,"death",194.141414141414
"106",35.3535353535354,"death",197.676767676768
"107",42.4242424242424,"death",201.212121212121
"108",49.4949494949495,"death",204.747474747475
"109",56.5656565656566,"death",208.282828282828
"110",63.6363636363636,"death",211.818181818182
"111",70.7070707070707,"death",215.353535353535
"112",77.7777777777778,"death",218.888888888889
"113",84.8484848484848,"death",222.424242424242
"114",91.9191919191919,"death",225.959595959596
"115",98.989898989899,"death",229.494949494949
"116",106.060606060606,"death",233.030303030303
"117",113.131313131313,"death",236.565656565657
"118",120.20202020202,"death",240.10101010101
"119",127.272727272727,"death",243.636363636364
"120",134.343434343434,"death",247.171717171717
"121",141.414141414141,"death",250.707070707071
"122",148.484848484848,"death",254.242424242424
"123",155.555555555556,"death",257.777777777778
"124",162.626262626263,"death",261.313131313131
"125",169.69696969697,"death",264.848484848485
"126",176.767676767677,"death",268.383838383838
"127",183.838383838384,"death",271.919191919192
"128",190.909090909091,"death",275.454545454545
"129",197.979797979798,"death",278.989898989899
"130",205.050505050505,"death",282.525252525253
"131",212.121212121212,"death",286.060606060606
"132",219.191919191919,"death",289.59595959596
"133",226.262626262626,"death",293.131313131313
"134",233.333333333333,"death",296.666666666667
"135",240.40404040404,"death",300.20202020202
"136",247.474747474747,"death",303.737373737374
"137",254.545454545455,"death",307.272727272727
"138",261.616161616162,"death",310.808080808081
"139",268.686868686869,"death",314.343434343434
"140",275.757575757576,"death",317.878787878788
"141",282.828282828283,"death",321.414141414141
"142",289.89898989899,"death",324.949494949495
"143",296.969696969697,"death",328.484848484848
"144",304.040404040404,"death",332.020202020202
"145",311.111111111111,"death",335.555555555556
"146",318.181818181818,"death",339.090909090909
"147",325.252525252525,"death",342.626262626263
"148",332.323232323232,"death",346.161616161616
"149",339.393939393939,"death",349.69696969697
"150",346.464646464646,"death",353.232323232323
"151",353.535353535354,"death",356.767676767677
"152",360.606060606061,"death",360.30303030303
"153",367.676767676768,"death",363.838383838384
"154",374.747474747475,"death",367.373737373737
"155",381.818181818182,"death",370.909090909091
"156",388.888888888889,"death",374.444444444444
"157",395.959595959596,"death",377.979797979798
"158",403.030303030303,"death",381.515151515152
"159",410.10101010101,"death",385.050505050505
"160",417.171717171717,"death",388.585858585859
"161",424.242424242424,"death",392.121212121212
"162",431.313131313131,"death",395.656565656566
"163",438.383838383838,"death",399.191919191919
"164",445.454545454545,"death",402.727272727273
"165",452.525252525253,"death",406.262626262626
"166",459.59595959596,"death",409.79797979798
"167",466.666666666667,"death",413.333333333333
"168",473.737373737374,"death",416.868686868687
"169",480.808080808081,"death",420.40404040404
"170",487.878787878788,"death",423.939393939394
"171",494.949494949495,"death",427.474747474747
"172",502.020202020202,"death",431.010101010101
"173",509.090909090909,"death",434.545454545455
"174",516.161616161616,"death",438.080808080808
"175",523.232323232323,"death",441.616161616162
"176",530.30303030303,"death",445.151515151515
"177",537.373737373737,"death",448.686868686869
"178",544.444444444444,"death",452.222222222222
"179",551.515151515152,"death",455.757575757576
"180",558.585858585859,"death",459.292929292929
"181",565.656565656566,"death",462.828282828283
"182",572.727272727273,"death",466.363636363636
"183",579.79797979798,"death",469.89898989899
"184",586.868686868687,"death",473.434343434343
"185",593.939393939394,"death",476.969696969697
"186",601.010101010101,"death",480.505050505051
"187",608.080808080808,"death",484.040404040404
"188",615.151515151515,"death",487.575757575758
"189",622.222222222222,"death",491.111111111111
"190",629.292929292929,"death",494.646464646465
"191",636.363636363636,"death",498.181818181818
"192",643.434343434343,"death",501.717171717172
"193",650.505050505051,"death",505.252525252525
"194",657.575757575758,"death",508.787878787879
"195",664.646464646465,"death",512.323232323232
"196",671.717171717172,"death",515.858585858586
"197",678.787878787879,"death",519.393939393939
"198",685.858585858586,"death",522.929292929293
"199",692.929292929293,"death",526.464646464646
"200",700,"death",530
